Classifier,Positive,Negative,Neutral,Mixed,Other language,Micro Avg,Macro Avg,Weighted Avg
KNNDecision Tree,0.66,0.06,0.15,0.04,0.10,0.45,0.29,0.50
KNNDecision Tree,0.77,0.24,0.17,0.14,0.54,0.61,0.38,0.58
Random Forest,0.81,0.18,0.09,0.04,0.55,0.68,0.42,0.65
Logistic RegressionNaive Bayes,0.81,0.21,0.12,0.03,0.45,0.68,0.40,0.64
Logistic RegressionNaive Bayes,0.80,0.02,0.00,0.01,0.29,0.66,0.32,0.63
SVM1DConv-LSTMDME,0.79,0.00,0.00,0.00,0.00,0.66,0.16,0.52
SVM1DConv-LSTMDME,0.80,0.16,0.00,0.12,0.39,0.63,0.31,0.58
SVM1DConv-LSTMDME,0.80,0.05,0.04,0.01,0.58,0.67,0.37,0.57
CDMEBERT Multilingual,0.800.80,0.020.00,0.05,0.01,0.59,0.67,0.39,0.63
CDMEBERT Multilingual,0.800.80,0.020.00,0.00,0.00,0.61,0.67,0.28,0.46
