,PathMNIST,PathMNIST,OrganAMNIST,OrganAMNIST,BloodMNIST,BloodMNIST,CIFAR-10-LT,CIFAR-10-LT
,0.00015% (13),0.00030% (26),0.001% (34),0.002% (69),0.001% (11),0.002% (23),0.2% (24),0.3% (37)
Random,0.79±0.11,,0.95±0.07,,0.91±0.08,,0.98±0.04,
Random,,0.79±0.11,,0.95±0.07,,0.91±0.08,,0.98±0.04
Random,,,,,,,0.70±0.13,
Random,,,,,,,,0.94±0.08
Random,,,,,,,,0.58±0.10
Random,,,,,,,,0.66±0.12
Consistency,0.78,,0.88,,0.82,,0.91,
Consistency,,0.78,,0.88,,0.82,,0.91
Consistency,,,,,,,0.75,
Consistency,,,,,,,,0.88
Consistency,,,,,,,,0.50
Consistency,,,,,,,,0.70
VAAL,0.11,,0.11,,0.18,,0.18,
VAAL,,0.11,,0.11,,0.18,,0.18
VAAL,,,,,,,0.13,
VAAL,,,,,,,,0.13
VAAL,,,,,,,0.30,
VAAL,,,,,,,,0.30
Margin,0.67,,0.78,,0.73,,0.82,
Margin,,0.67,,0.78,,0.73,,0.82
Margin,,,,,,,0.63,
Margin,,,,,,,,0.75
Margin,,,,,,,,0.60
Margin,,,,,,,,0.70
Entropy,0.33,,0.33,,0.45,,0.73,
Entropy,,0.33,,0.33,,0.45,,0.73
Entropy,,,,,,,0.63,
Entropy,,,,,,,,0.63
Entropy,,,,,,,0.40,
Entropy,,,,,,,,0.70
Coreset,0.66,,0.78,,0.91,,1.00,
Coreset,,0.66,,0.78,,0.91,,1.00
Coreset,,,,,,,0.63,
Coreset,,,,,,,,0.88
Coreset,,,,,,,,0.60
Coreset,,,,,,,,0.70
BALD,0.33,,0.44,,0.64,,0.64,
BALD,,0.33,,0.44,,0.64,,0.64
BALD,,,,,,,0.75,
BALD,,,,,,,,0.88
BALD,,,,,,,,0.60
BALD,,,,,,,,0.70
Ours,0.78,,1.00,,1.00,,1.00,
Ours,,0.78,,1.00,,1.00,,1.00
Ours,,,,,,,1.00,
Ours,,,,,,,,1.00
Ours,,,,,,,0.70,
Ours,,,,,,,,0.80
