Model,MAVEN-ERE,MAVEN-ERE,Causal-TimeBank,Causal-TimeBank,ProofWriter,
Model,Micro-F1 (%),LI(%)↓,Micro-F1 (%),L1(%)↓,Micro-F1 (%),
RoBERTa-Large (one-shot),RoBERTa-Large (one-shot),17.4,54.8,,-,35
RoBERTa-Large (fully fine-tuned),,56.8 6.4,22.2,36.2,63,
RoBERTa-Large (fully fine-tuned),vanilla ICL,18.0,53.3,19.0 54.0,39,
RoBERTa-Large (fully fine-tuned),vanilla ICL w. CoT,18.8 49.3,17.0,30.3,42,
oqinl vanilla ICL,CoT w. logical constraints,25.3,37.9,27.0 12.8,45,
Drriiir,,21.6,49.1 18.0,58.8,30,
Drriiir,vanilla ICL w. CoT,20.5,60.5,21.0 64.7,40,
Drriiir,CoT w. logical constraints,24.8 5.5,23.0,39.2,49,
G-Pd,vanilla ICL,29.3,50.7,22.5 30.5,47,
,vanilla ICL w. CoT,30.3,36.7 23.0,35.0,67,
,CoT w. logical constraints,32.3,13.7,24.5 24.0,70,
,vanilla ICL,13.8 25.4,4.5,84.1,37,
Ventia,vanilla ICL w. CoT,11.6,47.4,6.0 57.6,40,
Ventia,CoT w. logical constraints,14.9,21.7,8.0 33.1,42,
Ventia,vanilla ICL,17.0,54.6,11.5 26.7,29,
71aara,vanilla ICL w. CoT,17.8,58.4,10.5 33.6,,
CoT w. logical constraints,,21.5 18.9,13.0,18.1,31 40,
