Model,Model,MAVEN-ERE,MAVEN-ERE,Causal-TimeBank,Causal-TimeBank
,,Micro-F1 (%),LI(%)↓,Micro-F1 (%),LI(%)↓
LT-arr-::111T,vanilla ICL,15.3 (+1.5%),21.2 (-4.2%),8.0 (+3.5%),35.5 (-48.6%)
LT-arr-::111T,vanilla ICL w. CoT,15.8 (+4.2%),17.8 (-29.6%),7.5 (+1.5%),52.5 (-5.1%)
LT-arr-::111T,CoT w.logical constraints,18.0 (+3.1%),6.0 (-15.7%),8.5 (+0.5%),2.0 (-31.1%)
LT-arr-::111T,w. all logical constraints,16.3 (+1.1%),8.7 (-28.9%),12.1 (+1.1%),0 (-23.5%)
LT-arr-::111T,w.retrieved logical constraints,16.1(+0.4%),19.0 (-14.2%),10.7 (+0.7%),9.5 (-17.2%)
LT-arr-::111T,w. post-processing,11.0 (+1.2%),0(-),8.0 (-1.0%),0(-）)
TT-a1s-:31T,vanilla ICL,19.0 (+2.0%),45.8 (-8.8%),12.0 (+0.5%),22.7 (-4.0%)
TT-a1s-:31T,vanilla ICL w. CoT,22.1 (+4.3%),42.9 (-15.5%),11.5 (+1.0%),3.0 (-30.6%)
TT-a1s-:31T,CoT w. logical constraints,26.4 (+4.9%),15.7 (-3.2%),13.3 (+0.3%),13.0 (-5.1%)
TT-a1s-:31T,w. all logical constraints,20.2 (+0.7%),28.7 (-5.9%),12.0 (+2.0%),23.0 (-0.5%)
TT-a1s-:31T,w.retrieved logical constraints,18.7 (+0.4%),34.2 (-4.0%),11.0 (+1.5%),19.4 (-7.3%)
TT-a1s-:31T,w. post-processing,11.0 (-1.0%),0(-),11.0 (+1.5%),0(-)
