Human Evaluation,de-cs DARR,de-fr DARR,fr-de
n BEER,"35,793","4,862","DARR 1,369"
CHARACTER,0.337 0.232,0.293 0.251,0.265 0.224
CHRF,0.326,0.284,0.275
CHRF+,0.326,0.284,0.278
EED ESIM,0.345,0.301,0.267
HLEPORABASELINE,0.331,0.290,0.289
SENTBLEU,0.207,0.239,
YIS1-0,0.203,0.235,0.179
,0.331,0.296,0.277
YIS1-1 YISI-1_SRL,0.376,0.349,0.310
QE asa Metric:,,,0.299
IBM1-MORPHEME,0.048,-0.013,
IBM1-POS4GRAM,,-0.074,-0.053
YIS1-2,1,,-0.097
,0.199 newstest2019,0.186,0.066
